Tweet,Label
Puff puff pass ya hoe,0
TGIM (Thank God Its Monday) baby! 😀😀😀,0
"""OTAKU: Loving someone who doesn't exist.
KPOP fans: Loving someone who doesn't know you exist.""",0
@gioguy_24 are most of my tweets categorized as white people tweets? 😱,0
@ThatsMy_SON lol shutup but hmj,0
@raidenbeast lmao im not.. this conversation is too great to go to bed (':,1
RT @brightongigs: TODAY: KYLMA SOTA (Fin) / HATE FUCK / FEROXITY in Cowley Club http://t.co/ZfuF57jVWW,0
RT @Ashton5SOS: I like this photo of us :) http://t.co/vF9nWS9NAx,1
Can't find shit on TV.,0
"RT @TheDesBible: I dont want to go in today , i want to sleeppp:(",0
"RT @maranathatweets: Psalms 70:5. 
“But I am poor and needy: make haste unto me, O God: thou art my help and my deliverer; O LORD, make no …",0
"Here's my 1st official Vimeo for #Rishbala ♥ @VivianDsena01 @drashti10  ♥
https://t.co/ivEAiICDyK 
You guys definitely gonna like it :-)",1
"Hajj(Pilgrimage)A spiritual Unforgettable Journey to Makkah! Harken to IT before it's too late!
http://t.co/uwjEMW829S
@EDCkwt @L_eDialogueC",1
RT @Khunnie0624: CRAZY rumors hahaha that's just CRAZY #GOCRAZY!!!,1
"You're able* 
Heavy tweets ruined by typos. 😒",0
yes….breaking bad….yes. breaking stuff is bad. I'm not in fucking kindergarden.  thanks,0
RT @5SOS: I met Michael 😁 http://t.co/yQEWwaxwFB,1
@KianLawley HEYY HEYYY HEYYYY!!,1
"So come with me, we'll go and see the big rock candy mountain!",1
;) ASS: C R http://t.co/93s32FHY6s,1
RT @nickymcdonald1: @OverloadMusic well done lads 🙌🙌🙌,1
😴 type shit,0
i hate when people make assumptions about things,0
"@leejieun1123__ hihi it's good i met new friend. :) take note, chanyeol biased too.",1
Former IGP Urges Northern Leaders To Save Nigeria From Insurgency: A former Inspector-General of Poli... http://t.co/cOGWhoN6De #Nigeria,1
"I have pe first thing and last thing, fml someone shoot me.",0
"I've collected 16,487 gold coins! http://t.co/nvwOe6eAKC #android, #androidgames, #gameinsight",1
@Toni_Buckley @HanHaldane yep actually should have! Next time girl! I'm glad yous had an amazing day though 😭😩,1
Bitch you got an android gtf out my face 💀😁😕,0
RT @bissmahmehmud: Pakistan summed up. http://t.co/jtmjj0OT7P,0
RT @Il1uminati: Don't wait and procrastinate.,0
I can't wait to fucming move and never have to think about you bitch ass ever again.,0
@MitchPileggi1 Honestly don't know what to say.  Never been a Kanye fan really.  Don't know if I should be shocked or surprised.,0
"💐🌷 @NiallOfficial 🌷💐

Hello Nialler! 💕💕

How are you!?

Hope you're doing well! 😁

Will you please follow me!? You mean the 🌏 to me. x37",1
"I've harvested 1,250 of food! http://t.co/nXehUVqPC0 #android, #androidgames, #gameinsight",1
"@AHumrichous That's that shit, huh? lol",0
"Omfg, took the fucking words right outta my mouth right now!!!! 
""@Rivera1Cristian: I get jealous over the littlest things...""",0
RT @JessicaCapshaw: Congratulations to the sweetest and hottest #nauticamalibutri athlete AND the top fundraiser for @ChildrensLA I❤️YOU! h…,1
RT @AussieDraught: Australia Draught is proudly pouring on the North Shore today! So get down there and try a refreshing beer! http://t.co/…,1
@mik3cap ... doughnuts sound good,1
no amount of coffee has helped this morning😩,0
I feel so bad for missing the meeting today........😕 lol,0
tossin &amp; turnin 😕😕😕😕,0
