Tweet,Label
".@matevz_zupancic: ""Za Uniona Olimpijo vedno cilj le en - naslov prvaka Pokala Spar."" Več: http://t.co/rLZ3ngkKZb #olimpija #PokalSPAR",1
"RT @RevijaReporter: ZNP: Preganja se novinarje, ne pa tudi tistih, ki bi jih bilo treba | Reporter.si http://t.co/OK9v5jSp3l via @RevijaRep…",0
"@ajudez ima, samo ni čist to kar hočem...",0
"@jernejch @peropan1 @BorisDroid LOL. Evo, skrbimo, da ti tudi v mrkih trenutkih olepšamo dan :)",1
"@RagnarBelial Ubistvu mi je bil Synology na prvem mestu, sam zdej sem še tale Zyxel najdu... :) pa kokr berem ni švoh zadeva:)",1
"Bi pasalo po kosilu?
Na križarjenju prav vsak dan ;) http://t.co/09xwLPK98y",1
"Kraj z največjim številom zimskih olimpijcev, a še brez olimpijske krone - @PS_Sportal http://t.co/YxOdzKnuoi",0
"@br00dah Hlapec svetuje hlapcem da je fajn bit hlapec. Jao. Sem mislil da tale Dejan ima kaj v glavi, ampak očitno je možgane že prodal.",0
Pussy Riot na prostosti in znova v boju. http://t.co/Ufo5nva9Wi,1
Alive. Pearl Jam. Prva danes popoldne @Val202 Ajprou?,1
"Še en super band, ki ne podlega britanski dolgočasnosti! @RoadkillGhosts on @noisetrade. Download it here: http://t.co/Qam8TjJnng",1
"Mojca Kleva Kekuš S&amp;D/SD, kolegica v EP je povila Ano. Čestitke mamici, očetu, vse dobro mali Ani. To je 1. slovenski ""prirastek"" v  EP :-))",1
"Impro atelje - Šeherezada; jutri ob 18:00! Vljuno vabljeni! :)

http://t.co/bfNXFYFEVM",1
Kislo zelje je pravo naravno zdravilo: Skoraj nobena vrsta zelenjave se v jedilnikih različnih narodov ne poja... http://t.co/wvOxYW4598,1
N'toko o slabem tolmačenju tuje realnosti http://t.co/uHHhKQHpBd @SpletnaMladina,0
@GobaFunk Narobe? Nikakor! ;),0
"@SandraKravitz ponovnim brojanjem došlo se do 10+, čisto da se zna :))",1
"RT @JJansaSDS: Fišer: dokument ni pristen! Nato pa preiskava pri Kalohu. Nepristen, vendar vseeno tajen dokument? http://t.co/Qur5lmylVZ Bu…",0
RT @andrazk: Umru. RT @GoranKristan: Če poči guma slovenskim divam :) http://t.co/XdX95bhLYR,0
@markopotrc @steinbuch @TjasaSlokar @finance_si Pasivnost in ignoriranje je rešitev? Zanimivo... prav to so mislili židje o nacistih 1935...,0
Evo Ogier postavil stvari na svoje mesto. Po 9. brzincu vodi na Monteju 11 sekund pred Bouffierjem! http://t.co/7I6x4Dc1JT #wrcslo,1
"30% nižja cena električne energije v soboto, 18.1.2014, od 14. do 16. ure - #VklopiPrihranek na http://t.co/JzK4sTw16N",1
"@Nelly_Fox Ah, škoda... meni so prav glave taglavni fetiš... :D",0
"RT @GledalisceGlej: Glej, 
Svoboda na http://t.co/Enc7G60P7f! http://t.co/gKofTazFI6",1
"@Matino667 Se kar strinjam. Videl sam nekaj takih primerov, ki so ponavadi neizogibno samo podaljšali ... :-( Get a room! @russhie",0
RT @knjiznicaNUK: Prav lepa hvala:) RT @Pizama: #ff @knjiznicaNUK za slastne drobtinice iz preteklosti,1
"@merineseri @russhie po moje gre sam za to, da se ukvarjajo s takim problemom, da jim nič drugega v tistem trenutku ni pomebno.",0
